dateTime,usoCpu,frequence,temp
25/11/2023 21:09,3.0,1330.9736,53.5
25/11/2023 21:09,4.4,1412.7542,52.5
25/11/2023 21:09,3.0,1390.5996,53.5
25/11/2023 21:09,3.1,1383.4276,53.5
25/11/2023 21:09,4.6,1570.1230,53.5
25/11/2023 21:09,1.5,1502.3876,53.5
25/11/2023 21:09,3.0,1396.8310,52.5
25/11/2023 21:09,0.0,1375.8310,53.5
25/11/2023 21:09,0.0,1656.7212,53.5
25/11/2023 21:09,0.0,1587.4878,52.5
25/11/2023 21:09,1.5,1334.9330,52.5
25/11/2023 21:09,0.0,1474.0504,53.5
25/11/2023 21:09,0.0,1406.1954,53.5
25/11/2023 21:09,0.0,1451.8518,53.5
25/11/2023 21:09,1.6,1868.3390,52.5
25/11/2023 21:09,0.0,1346.3282,52.5
25/11/2023 21:09,0.0,1673.4556,52.5
25/11/2023 21:09,1.5,1599.2170,53.5
25/11/2023 21:09,1.5,1410.1252,52.5
25/11/2023 21:09,1.6,1926.3370,53.5
25/11/2023 21:09,1.5,1520.2684,52.5
25/11/2023 21:09,1.5,1460.7672,52.5
25/11/2023 21:09,1.6,1416.9460,53.5
25/11/2023 21:09,1.5,1681.6512,52.5
25/11/2023 21:09,3.1,2068.7406,52.5
25/11/2023 21:09,1.5,1348.2602,53.5
25/11/2023 21:09,0.0,1530.9294,53.5
25/11/2023 21:09,3.0,1419.7956,53.5
25/11/2023 21:09,0.0,1368.7642,53.5
25/11/2023 21:09,0.0,1474.2794,51.5
25/11/2023 21:09,1.6,1322.1576,52.5
25/11/2023 21:10,0.0,1535.7826,52.5
25/11/2023 21:10,1.5,1549.2824,52.5
25/11/2023 21:10,0.0,1365.2588,52.5
25/11/2023 21:10,0.0,1583.7594,52.5
25/11/2023 21:10,4.7,1612.5868,52.5
25/11/2023 21:10,0.0,1354.7642,53.5
25/11/2023 21:10,1.5,1425.4242,52.5
25/11/2023 21:10,0.0,1376.0566,53.5
25/11/2023 21:10,0.0,1427.6146,53.5
25/11/2023 21:10,4.5,1554.8260,52.5
25/11/2023 21:10,3.2,1770.3720,53.5
25/11/2023 21:10,1.5,1371.6366,52.5
25/11/2023 21:10,1.5,1382.3804,53.5
25/11/2023 21:10,3.0,1471.9460,52.5
25/11/2023 21:10,3.2,1922.4402,53.5
25/11/2023 21:10,1.6,1514.5912,52.5
25/11/2023 21:10,1.5,1363.3628,53.5
25/11/2023 21:10,1.5,1456.1964,53.5
25/11/2023 21:10,1.5,1591.2188,53.5
25/11/2023 21:10,3.1,2102.6652,52.5
25/11/2023 21:10,0.0,1353.0286,52.5
25/11/2023 21:10,1.5,1553.9292,52.5
25/11/2023 21:10,0.0,1385.1756,52.5
25/11/2023 21:10,0.0,1357.7798,52.5
25/11/2023 21:10,1.5,1573.2568,52.5
25/11/2023 21:10,1.5,1453.6662,52.5
25/11/2023 21:10,1.5,1343.5602,53.5
25/11/2023 21:10,1.6,1390.3178,53.5
25/11/2023 21:10,1.5,1401.1956,53.5
25/11/2023 21:10,0.0,1329.9542,52.5
25/11/2023 21:10,6.2,1575.1956,52.5
25/11/2023 21:10,1.5,1359.6558,52.5
25/11/2023 21:10,0.0,1561.6548,53.5
25/11/2023 21:10,1.5,1705.9634,54.5
25/11/2023 21:10,0.0,1622.8442,54.5
25/11/2023 21:10,4.7,1530.0428,52.5
25/11/2023 21:10,1.6,1475.1236,52.5
25/11/2023 21:10,4.4,1467.5292,52.5
25/11/2023 21:10,3.1,1564.1274,53.5
25/11/2023 21:10,3.1,1386.0850,52.5
25/11/2023 21:10,4.8,2005.0444,52.5
25/11/2023 21:10,3.1,1353.8022,52.5
25/11/2023 21:10,3.1,1529.4138,52.5
25/11/2023 21:10,1.5,1620.9842,53.5
25/11/2023 21:10,1.5,1381.9534,53.5
25/11/2023 21:10,4.7,1622.4020,52.5
25/11/2023 21:10,1.6,1479.5450,52.5
25/11/2023 21:10,1.5,1395.6088,53.5
25/11/2023 21:10,1.5,1449.0060,53.5
25/11/2023 21:11,3.1,1566.0442,53.5
25/11/2023 21:11,3.2,2035.8062,52.5
